positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
通信数据挖掘和分析工程师,诺基亚华诺科技,5k-8k,2019-12-09 17:07:56,280956,湖南华诺科技有限公司,"['带薪年假', '定期体检', '通讯津贴', '管理规范']",不需要融资,"['大数据', '通信/网络设备', '通信网络优化']",['通信网络优化'],本科,闸北区,应届毕业生
数据挖掘实习生,谷露软件,3k-5k,2019-12-09 09:26:36,5002,上海谷露软件有限公司,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']",A轮,['数据挖掘'],['数据挖掘'],本科,黄浦区,不限
资深算法工程师,聪盛网络,20k-40k,2019-12-09 16:25:37,234804,上海聪盛网络科技有限公司,"['交通补助', '带薪年假', '定期体检', '绩效奖金']",A轮,"['游戏', '移动互联网', '算法', '推荐算法', '机器学习']","['算法', '推荐算法', '机器学习']",本科,闵行区,5-10年
推荐算法工程师(中级 高级 资深）,殷德营销策划,30k-60k,2019-12-09 16:51:38,82959546,上海殷德营销策划有限公司,[],A轮,['推荐算法'],['推荐算法'],本科,徐汇区,1-3年
算法工程师（NLP),天壤智能,25k-50k,2019-12-09 16:22:27,240153,上海天壤智能科技有限公司,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",A轮,"['人工智能', '深度学习', 'NLP', '算法']","['人工智能', '深度学习', 'NLP', '算法']",硕士,徐汇区,3-5年
TS-人工智能与机器学习工程师,顺丰科技有限公司,20k-40k,2019-12-09 14:52:16,35996,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,"['人工智能', '机器学习', '深度学习']","['人工智能', '机器学习', '深度学习']",硕士,虹口区,3-5年
数据科学家/算法工程师,HARB,20k-40k,2019-12-09 17:14:13,116876,哈步数据科技（上海）有限公司,"['带薪年假', '午餐补助', '扁平化管理', '公司氛围好']",B轮,"['大数据', '算法', '数据挖掘', '数据分析']","['算法', '数据挖掘', '数据分析']",本科,徐汇区,3-5年
Python数据挖掘讲师,上海传智播客,25k-40k,2019-12-09 09:30:41,158357,江苏传智播客教育科技股份有限公司上海分公司,"['专项奖金', '股票期权', '带薪年假', '交通补助']",上市公司,"['数据挖掘', '数据分析', '算法']","['数据挖掘', '数据分析', '算法']",本科,浦东新区,3-5年
数据挖掘工程师(J11048),明略科技集团,15k-25k,2019-12-09 11:38:53,13171,秒针信息技术有限公司,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']",D轮及以上,['数据挖掘'],['数据挖掘'],本科,静安区,3-5年
positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
数据挖掘专家/Leader,趣头条,40k-60k,2019-12-09 10:37:04,202104,上海基分文化传播有限公司,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",上市公司,"['数据挖掘', '算法']","['数据挖掘', '算法']",本科,浦东新区,5-10年
